dataset,fold,model,WA,UA,Macro-F1,Weighted-F1
ESD,1,Reproduced MemoCMT,73.36,73.37,72.28,73.87
ESD,1,Cross-MILA,78.37,78.37,78.66,78.66
ESD,2,Reproduced MemoCMT,75.37,75.67,76.33,75.66
ESD,2,Cross-MILA,81.71,81.67,81.08,81.69
ESD,3,Reproduced MemoCMT,73.66,73.67,73.28,73.71
ESD,3,Cross-MILA,78.28,78.61,78.37,78.42
ESD,4,Reproduced MemoCMT,75.36,75.37,75.28,75.13
ESD,4,Cross-MILA,80.33,80.78,80.33,80.87
ESD,5,Reproduced MemoCMT,74.81,74.28,74.28,74.33
ESD,5,Cross-MILA,79.97,79.92,79.81,79.13

